filename,height,width,top_left_lat,top_left_lon,bottom_right_lat,bottom_right_lon
equad.gif,949,1440,37.430638,-122.176173,37.426803,-122.168855
campus.gif,750,1160,37.432565,-122.180000,37.421642,-122.158724
oval.gif,700,600,37.432543,-122.170674,37.429054,-122.167716
zoomed_oval.gif,1936,1618,37.431282,-122.170513,37.429127,-122.168238
west_campus.gif,850,680,37.430056,-122.179160,37.4232762,-122.1724067
lake_lag.gif,902,850,37.426202,-122.178163,37.422505,-122.173210
ravine.gif,929,850,37.434025,-122.174628,37.428344,-122.166744
ravine_zoom.gif,850,1058,37.434156,-122.172154,37.430989,-122.167208
